"ticket_id","title","description","priority","status","category","assignment_group","assignee","opened_at","resolved_at","closed_at","updated_at","source_system"
"TI-2024-0011","Adobe Creative Cloud apps failing to launch with error code 201","After updating Creative Cloud Desktop to version 6.1.0.587, none of the Adobe applications will launch. Photoshop, Illustrator, and InDesign all fail with error code 201. I have tried signing out and back into Creative Cloud, clearing the Adobe cache from %APPDATA%, and running the Creative Cloud Cleaner Tool. The Creative Cloud app itself opens but shows all apps as 'Up to date' rather than 'Open'. I am on macOS Sonoma 14.3.1 on a MacBook Pro M2. This is urgent as I have a brochure deadline this Thursday. Adobe support chat was unhelpful after a 45-minute wait. I really need this sorted out ASAP please.","Medium","Open","Software","IT-App-Support","","2025-10-29T05:41:52","","","2025-10-29T14:41:52","internal_portal"
"TI-2024-0012","Salesforce reports showing incorrect currency conversion rates","Multiple Salesforce reports in the EMEA dashboard are showing incorrect currency conversion rates. EUR to USD is displaying 1.08 when the current rate should be 1.0747, and GBP to USD shows 1.27 when it should be 1.2635. This affects our quarterly revenue reporting. The 'Manage Currencies' setup in Salesforce shows correct Dated Conversion Rates for March 2026, but the report engine seems to be using some cached values. I have tried clearing the browser cache and using an incognito window. The issue affects Chrome, Firefox, and Edge. Our Salesforce org is Enterprise Edition running Spring '26 release. Could someone from the CRM team investigate?","Medium","On Hold","Software","IT-CRM-Team","Michael Torres","2025-11-01T05:41:52","","","2025-11-03T05:41:52","email"
"TI-2024-0013","Request to install Visio Professional 2021 on my workstation","I need Microsoft Visio Professional 2021 installed on my workstation (EMP-3287, WS-0289) for a new project that requires detailed network diagrams and process flowcharts. I checked the Software Center and only Visio Standard is available, but I need the Professional features for database modeling and UML templates. My manager, David Kim, has approved this via email. My cost center is CC-ENG-200. Can IT please push the Visio Pro license to my machine? Thank you for your help!","Low","Closed","Software","IT-Software-Distribution","Angela Foster","2026-03-22T05:41:52","2026-03-24T05:41:52","2026-03-25T05:41:52","2026-03-25T05:41:52","service_catalog"
"TI-2024-0014","Zoom client crashing during screen sharing on Ubuntu 22.04","The Zoom client (version 6.0.6, flatpak) crashes consistently when I try to share my screen on Ubuntu 22.04.3 LTS with Wayland display server. The crash happens about 10-15 seconds after I click the Share Screen button. The system logs show a segfault in libpipewire-0.3.so.0. Screen sharing works fine on X11 session, but our IT-managed Ubuntu image defaults to Wayland. Other video conferencing tools (Google Meet via browser, Microsoft Teams via flatpak) do not have this issue. Is there a known workaround? I have already tried --disable-gpu flag and enabling XWayland for Zoom, but the problem persists.","Medium","Closed","Software","IT-App-Support","Kevin Wright","2026-02-25T05:41:52","2026-03-02T05:41:52","2026-03-03T05:41:52","2026-03-03T05:41:52","internal_portal"
"TI-2024-0015","Microsoft Teams notifications not appearing on Android phone","I am not receiving push notifications for Microsoft Teams messages on my Samsung Galaxy S24 Ultra (Android 14, Teams version 1420/1.0.0.2024031301). The app works fine when I have it open, but I get no badge, no sound, and no notification when it is in the background. I have already verified that notifications are enabled in Android Settings > Apps > Teams, and background data usage is unrestricted. Battery optimization is set to 'Not optimized' for Teams. I have cleared the app cache and data, reinstalled the app, and toggled the notification switches off and on multiple times. Chat and channel notifications are both enabled in Teams settings. This is really annoying as I keep missing important messages from my team.","Low","In Progress","Software","IT-App-Support","","2026-01-06T05:41:52","","","2026-01-08T01:41:52","internal_portal"
"TI-2024-0016","Jenkins build pipeline failing at integration test stage","Our CI/CD pipeline in Jenkins (https://jenkins.internal.company.com/job/api-platform/job/main/) has been failing at the integration-test stage since yesterday. The error is: 'com.mongodb.MongoSocketReadException: Prematurely reached end of stream' connecting to MongoDB replica set at mongodb-prod-01.internal:27017, mongodb-prod-02.internal:27017, mongodb-prod-03.internal:27017. The unit test stage passes successfully. This is blocking merges to the main branch for the entire API platform team (8 developers). We checked the MongoDB server logs and see excessive connection churn. Could the database team check if there is a connection pool issue or if one of the replica set members is unhealthy? Build number 2847 through 2853 have all failed with the same error.","High","Open","Software","IT-DevOps","Sarah Chen","2025-11-22T05:41:52","","","2025-11-24T05:41:52","monitoring"
"TI-2024-0017","Zoom client crashing during screen sharing on Ubuntu 22.04","I am experiencing a similar issue to the one reported previously. The Zoom client on my Ubuntu 22.04 workstation crashes when I try to share my screen during meetings. The screen goes black for a moment, then Zoom closes completely. I am using the .deb package version 6.0.6 rather than flatpak. My display server is Wayland. I have an NVIDIA GeForce RTX 3060 with driver version 535.129.03. This only started happening after the latest system update last week. Could someone please look into this? I have an important client demo on Friday and really need screen sharing to work.","Medium","Resolved","Software","IT-App-Support","Kevin Wright","2026-02-22T05:41:52","2026-02-24T05:41:52","","2026-02-24T05:41:52","internal_portal"
"TI-2024-0018","Slack desktop app consuming excessive memory - up to 3.2 GB RAM","The Slack desktop application (version 4.39.93, Windows x64) is consuming increasingly more memory over the course of the day. By mid-afternoon it is using 3.2 GB of RAM and causing the system to become sluggish. I am in about 15 channels and 5 direct message conversations. I have tried clearing the cache (AppData > Roaming > Slack > Cache), resetting the app data, and even uninstalling/reinstalling. The memory growth is gradual - it starts at around 400 MB on launch. This behavior has been getting worse over the past month. I have 16 GB RAM on my laptop and Slack alone is using 20% of it. Could this be a memory leak? I am on Windows 11 Enterprise.","Low","Resolved","Software","IT-App-Support","Lisa Park","2025-11-07T05:41:52","2025-11-17T05:41:52","","2025-11-17T05:41:52","internal_portal"
"TI-2024-0019","VPN connection dropping every 15-20 minutes when working from home","My Cisco AnyConnect VPN (version 4.10.06079) disconnects approximately every 15-20 minutes when I work from home. I get the message 'Connection terminated. The secure gateway has rejected the connection attempt.' After reconnection it works for another 15-20 minutes before dropping again. I have tested this on two different home networks (Comcast and AT&T fiber) with the same result. I have a stable 500 Mbps fiber connection at home. Other colleagues in my team are not experiencing this issue. I have reinstalled AnyConnect twice and tried both the default connection profile and the backup profile. I also checked that my Cisco ISE posture assessment passes. My employee ID is EMP-6102.","High","In Progress","Network","IT-Network-Ops","Alex Petrov","2025-11-04T05:41:52","","","2025-11-05T16:41:52","internal_portal"
"TI-2024-0020","WiFi extremely slow in Building C, 2nd floor conference rooms","WiFi performance in the Building C second floor conference rooms (rooms C201-C208) has been terrible for the past two weeks. Speed tests show download speeds of 2-5 Mbps when we should be getting at least 100 Mbps. There are 4 Cisco Catalyst 9120AXI access points on this floor (AP-C2-01 through AP-C2-04). The issue is worst during peak hours (10 AM - 2 PM) when there are many meetings. The main office areas on the same floor seem fine - the problem is isolated to the conference rooms. We had a reconfiguration of the wireless controllers last month (WLC-01 and WLC-02). Could someone investigate if something changed with the AP placement or channel assignments? Several VPs have complained about this during their meetings.","Medium","Resolved","Network","IT-Network-Ops","Alex Petrov","2026-01-01T05:41:52","2026-01-11T05:41:52","","2026-01-11T05:41:52","email"
"TI-2024-0021","Cannot access internal wiki at wiki.internal.company.com from office network","Since this morning I cannot access the internal wiki at wiki.internal.company.com (10.10.1.55). The page just loads indefinitely and then times out. Other internal sites like intranet.company.com (10.10.1.10) and jira.internal.company.com (10.10.1.40) work fine. I can ping 10.10.1.55 successfully and get responses in under 1ms. DNS resolution is correct (nslookup shows 10.10.1.55). The wiki server is a Confluence instance running on CentOS 8 with Nginx reverse proxy. I have tried Chrome, Firefox, and Edge - all have the same issue. My colleagues sitting next to me can access it without any problems, which is baffling. I restarted my laptop and cleared the DNS cache with ipconfig /flushdns.","Medium","Closed","Network","IT-Network-Ops","Maria Santos","2026-02-10T05:41:52","2026-02-18T05:41:52","2026-02-19T05:41:52","2026-02-19T05:41:52","internal_portal"
"TI-2024-0022","Firewall rule blocking FTP access to partner SFTP server at 203.0.113.50","We need FTP/SFTP access to a partner company's file server at 203.0.113.50 (port 22 for SFTP). Our automated batch jobs that transfer nightly data files are failing with 'Connection refused'. The partner confirmed their server is up and accessible from other clients. We suspect our Palo Alto firewall (PA-5250, serial FW-CORP-01) is blocking outbound connections to this IP. The connection originates from our integration server INT-SRV-01 at 10.10.3.100. We need port 22 (SSH/SFTP) opened outbound to 203.0.113.50/32. Our change request CR-2026-0415 has been pre-approved by the security team. This is causing our nightly ETL pipeline to fail and data is backing up.","Critical","In Progress","Network","IT-Security-Team","David Kim","2025-10-28T05:41:52","","","2025-10-29T19:41:52","monitoring"
"TI-2024-0023","Request to set up guest WiFi network for office visitors","We are hosting a technology conference with approximately 200 external attendees next month (May 15-17) and need a dedicated guest WiFi network set up. The network should provide internet access only, no access to internal company resources. We need it to support at least 200 simultaneous connections. Ideally, the captive portal would show a splash page with the event branding and require an email address for login. The conference will take place in Building A, floors 1-3 and the main auditorium. Please coordinate with the Events team (contact: Jennifer Walsh, ext. 4500) on the splash page branding. We also need a separate VLAN for the event registration kiosks. Thank you!","Medium","On Hold","Network","IT-Network-Ops","Alex Petrov","2025-11-04T05:41:52","","","2025-11-05T09:41:52","service_catalog"
"TI-2024-0024","Intermittent network latency spikes affecting VoIP phone quality","We have been experiencing intermittent network latency spikes on our VoIP VLAN (VLAN 100) between 9:00 AM and 11:00 AM over the past week. Users are reporting choppy audio, dropped calls, and one-way audio issues. Wireshark captures show periodic bursts of 200-500ms latency on the voice VLAN, while the data VLAN (VLAN 10) appears normal. Our phone system is Cisco Unified Communications Manager 14.0 on server CUCM-01 (10.10.2.50). The core switches are Cisco Catalyst 9500-48Y4C (CORE-SW-01 and CORE-SW-02) running in VSS mode. QoS policies for voice traffic (DSCP EF, priority queue) appear to be in place. Could the network team investigate if there is a spanning-tree event or routing loop during these hours?","Low","Resolved","Network","IT-Network-Ops","Maria Santos","2026-01-16T05:41:52","2026-01-22T05:41:52","","2026-01-22T05:41:52","email"
"TI-2024-0025","IP address conflict detected between workstation and network printer","I am getting 'Windows has detected an IP address conflict' warnings on my workstation (WS-0312) at IP 10.10.8.112. The conflict appears to be with a network printer that was recently moved to the 3rd floor. When the conflict occurs, I lose network connectivity for about 30 seconds. Our DHCP scope is managed by Windows Server 2022 (DHCP-SRV-01, 10.10.1.25). The printer is supposed to have a static reservation but it seems like someone may have set it up with a static IP that overlaps with the DHCP pool. The printer in question is a Ricoh MP C3004 at location Building B, Floor 3, near cubicle cluster B3-200. Can we get this resolved before it causes bigger issues on the network?","Medium","Resolved","Network","IT-Network-Ops","Alex Petrov","2026-02-05T05:41:52","2026-02-07T05:41:52","","2026-02-07T05:41:52","internal_portal"
"TI-2024-0026","Request for static IP address for new IoT sensor equipment","Our Facilities team has installed 15 new environmental monitoring sensors across the data center and office areas. These sensors communicate via MQTT over TCP port 1883 and need static IP addresses assigned. They are currently using DHCP but we need them to have fixed addresses for firewall rules and monitoring dashboard configuration. The sensors are manufactured by Monnit and have MAC addresses starting with 00:4B:A5. They need to be placed on VLAN 300 (IoT network, subnet 10.10.30.0/24). Please assign IPs 10.10.30.201 through 10.10.30.215 and create the corresponding DHCP reservations and DNS A records (naming convention: iot-sensor-dc-NNN.internal.company.com). I will provide the full MAC address list once the request is acknowledged.","Low","Closed","Network","IT-Network-Ops","Maria Santos","2026-03-27T05:41:52","2026-03-31T05:41:52","2026-04-04T05:41:52","2026-04-04T05:41:52","email"
"TI-2024-0027","Cannot access shared SharePoint folder after department transfer","I transferred from the Marketing department to the Finance department two weeks ago, but I still cannot access the Finance team's SharePoint Online site at https://company.sharepoint.com/teams/finance. When I try to access it, I get 'You need permission to access this site' and a button to request access. My manager, Patricia Wells, confirmed she has added me to the Finance-Members Microsoft 365 group. I can see the group in my Outlook (it appears under Groups), but SharePoint still denies access. I have tried signing out and back into Office 365, using a different browser, and clearing cookies. My old Marketing SharePoint access still works fine. IT provisioning ticket PROV-2026-0387 was supposedly completed last week.","Medium","Resolved","Access/Permissions","IT-Identity-Access","Lisa Park","2026-02-08T05:41:52","2026-02-15T05:41:52","","2026-02-15T05:41:52","internal_portal"
"TI-2024-0028","MFA prompt appearing every time I open Outlook on my phone","For the past week, Microsoft Authenticator prompts me for MFA approval every single time I open the Outlook app on my iPhone 15 Pro (iOS 17.4). It used to remember me for 30 days but now asks every time. I have verified that the 'Remember me for 30 days' setting is enabled in my Azure AD Conditional Access policy. I have uninstalled and reinstalled both the Outlook and Authenticator apps. I also removed and re-added my corporate account (EMP-2156). The issue does not occur on my Windows laptop or when using Outlook on the web. Other colleagues in my team are not experiencing this. I am really grateful for any help on this as it is extremely disruptive to have to approve MFA 20+ times a day.","Medium","Resolved","Access/Permissions","IT-Identity-Access","Diana Patel","2026-01-09T05:41:52","2026-01-15T05:41:52","","2026-01-15T05:41:52","internal_portal"
"TI-2024-0029","Need admin access to install PostgreSQL development tools","I need local administrator privileges on my development workstation (WS-0512) to install PostgreSQL 16 and pgAdmin 4 for a new database migration project. The standard user account prevents me from installing database services, creating Windows services, and modifying system PATH variables. My manager, Frank Chen, has approved this request via ServiceNow catalog item REQ-2026-0144. The access is needed for a maximum of 90 days while the migration project is active. After that, admin rights can be removed. I have completed the security awareness training module and signed the elevated access acknowledgment form. Please process this as soon as possible as our project kickoff is on Monday.","Medium","Resolved","Access/Permissions","IT-Identity-Access","Diana Patel","2026-01-13T05:41:52","2026-01-17T05:41:52","","2026-01-17T05:41:52","service_catalog"
"TI-2024-0030","Locked out of account after too many failed password attempts","I have been locked out of my Windows account and cannot log in to my workstation. The error message says 'Your account has been locked. Please contact your system administrator.' I think what happened is I was using my old password after the mandatory password change last Friday, and after several failed attempts my account got locked by Active Directory. My username is j.anderson and my employee ID is EMP-1587. I am working from the San Diego office today (Building D, Floor 2, desk D2-041) so I cannot walk over to the IT helpdesk in HQ. Can someone unlock my account remotely? I have several deadlines today and cannot afford to be offline. Thank you!","High","Resolved","Access/Permissions","IT-Helpdesk","James Okafor","2025-12-22T05:41:52","2025-12-27T05:41:52","","2025-12-27T05:41:52","phone"
"TI-2024-0031","Service account svc_sqlbackup expired password causing backup failures","Our automated SQL Server backup jobs have been failing since yesterday because the service account 'svc_sqlbackup' has an expired password. The account is used by SQL Agent to connect to the backup storage server at \nas-backup\sql-backups. The backup jobs run on SQL-SRV-01 (10.10.5.30) and SQL-SRV-02 (10.10.5.31). Error in SQL Agent history: 'Login failed for user 'svc_sqlbackup'. Reason: Password expired.' This account was supposed to be on the no-expiration list but apparently was not. We have 3 days of unbacked-up production databases now. The account is managed in Active Directory OU=Service Accounts,OU=Production,DC=company,DC=internal. Please reset the password, set it to never expire, and update the SQL Agent credentials. Reference change ticket CHG-2026-0287.","Critical","Resolved","Access/Permissions","IT-Identity-Access","Robert Nguyen","2026-01-11T05:41:52","2026-01-18T05:41:52","","2026-01-18T05:41:52","monitoring"
"TI-2024-0032","Emails sent to external recipients stuck in Outbox with error 550 5.7.1","Since yesterday morning, emails I send to external recipients (anyone outside our company domain) are getting stuck in my Outlook Outbox and not delivered. I eventually receive a non-delivery report (NDR) with: '550 5.7.1 Service unavailable; Client host [10.10.1.100] blocked using Spamhaus SBL. To request removal, see https://www.spamhaus.org/query/ip/10.10.1.100.' Internal emails work fine. My workstation IP is assigned via DHCP and is 10.10.1.100, which is actually the external NAT IP of our mail gateway. Our mail server is Exchange Server 2019 (MAIL-01, 10.10.2.20). This suggests our outbound mail server IP may have been blacklisted. Our entire company's external emails could be affected. This is urgent as our sales team is reporting they cannot communicate with clients.","Medium","In Progress","Email","IT-Exchange-Team","Angela Foster","2025-10-30T05:41:52","","","2025-10-30T08:41:52","email"
"TI-2024-0033","Outlook autocomplete cache showing incorrect email addresses for contacts","When I type names in the Outlook To: field, the autocomplete suggestions include several outdated and incorrect email addresses for people who have changed their names or email addresses due to marriage or department changes. For example, typing 'Sarah' shows Sarah's old address sarah.jones@company.com instead of her current sarah.chen@company.com. I know how to delete individual entries from the autocomplete cache using the X button, but there are too many incorrect ones to do manually. Is there a way to clear the entire autocomplete cache (NK2 file) and rebuild it? I am on Outlook 365 desktop, Windows 11. Also, the Global Address List (GAL) shows the correct addresses, so the issue is only with the local cache. Thank you!","Low","Closed","Email","IT-Exchange-Team","Lisa Park","2026-03-02T05:41:52","2026-03-05T05:41:52","2026-03-09T05:41:52","2026-03-09T05:41:52","email"
"TI-2024-0034","Mailbox size limit reached - unable to send or receive emails","I am getting the message 'Your mailbox is full' in Outlook and can no longer send or receive emails. My mailbox size is showing 49.8 GB out of the 50 GB limit. I have been archiving to a local PST file monthly, but my online mailbox keeps growing due to large attachments from the engineering team. I have deleted items from the Deleted Items folder and emptied the Recoverable Items folder, but only freed up about 800 MB. I understand our Exchange Online Plan 2 should allow up to 100 GB. Can someone check if I am on the right license? My employee ID is EMP-3287 and my email is maria.santos@company.com. I really appreciate quick help as I am expecting an important contract document today.","Medium","In Progress","Email","IT-Exchange-Team","Angela Foster","2025-10-28T05:41:52","","","2025-10-28T07:41:52","internal_portal"
"TI-2024-0035","Email distribution list 'all-staff' is receiving duplicate messages","Since the Exchange Server maintenance window last Saturday, members of the 'all-staff' distribution list have been receiving duplicate copies of emails sent to the list. Each message appears twice in the Inbox. I checked the DL membership in Exchange Admin Center and there are no duplicate memberships. The issue seems to affect all 2,400 members of the list. We have tested by sending a test message to all-staff and confirmed everyone receives two copies. Other smaller distribution lists do not seem to be affected. The DL has about 20 nested groups. Our Exchange server is Exchange 2019 CU13 on MAIL-01 (10.10.2.20). Could someone from the Exchange team investigate? This is confusing people, especially for company-wide announcements.","Medium","Resolved","Email","IT-Exchange-Team","Angela Foster","2026-02-18T05:41:52","2026-02-25T05:41:52","","2026-02-25T05:41:52","email"
"TI-2024-0036","Set up out-of-office auto-reply for extended medical leave","I will be on medical leave from April 14 through May 9, 2026 and need to set up an out-of-office auto-reply in Outlook. Could IT help me configure this? I want the message to say I am currently out of the office and will respond to emails upon my return. For urgent matters, people should contact my manager Jennifer Walsh at j.walsh@company.com or call the main department line at ext. 4200. I would also like emails to be automatically forwarded to Jennifer during my absence. My email is r.nguyen@company.com. I tried setting this up myself in Outlook Web Access but the forwarding rule option is greyed out, possibly due to our mail transport rules. Thank you so much for your assistance!","Low","Closed","Email","IT-Helpdesk","James Okafor","2025-10-28T05:41:52","2025-11-04T05:41:52","2025-11-05T05:41:52","2025-11-05T05:41:52","phone"
"TI-2024-0037","Suspicious login attempts from foreign IP addresses on my account","I received three email alerts from our IT security team about failed login attempts on my corporate account from IP addresses in Russia (91.108.4.0/24) and Brazil (177.54.150.0/24). I have not traveled to either country and do not use a VPN that would route through these locations. The attempts occurred at 2:14 AM, 2:16 AM, and 2:17 AM last night. I have changed my password immediately and verified my MFA device (Microsoft Authenticator) is still listed as my primary method. However, I noticed an unfamiliar registered device called 'Windows PC - Moscow' in my Azure AD portal that I did not add. I have removed it. Could security team investigate if there was an actual breach or if this was just a brute-force attempt? I am EMP-4821.","Low","Closed","Security","IT-Security-Team","David Kim","2025-10-27T05:41:52","2025-11-02T05:41:52","2025-11-04T05:41:52","2025-11-04T05:41:52","email"
"TI-2024-0038","Potential phishing email reported - fake CEO wire transfer request","I received a very convincing phishing email that appears to be from our CEO, James Richardson (j.richardson@company.com), requesting an urgent wire transfer of $45,000 to a new vendor account. The email was sent from the address j.richardson@companny.com (note the extra 'n' in company). The email had a similar signature block and writing style. The wire transfer request referenced a 'confidential acquisition' and asked me to 'keep this between us.' I did not respond or click any links. I have attached the original email (.eml file) for analysis. Several other people in the Finance department received similar emails. This appears to be a targeted Business Email Compromise (BEC) attack. Please alert the security team to send a company-wide warning.","High","Resolved","Security","IT-Security-Team","David Kim","2026-03-12T05:41:52","2026-03-14T05:41:52","","2026-03-14T05:41:52","email"
"TI-2024-0039","Endpoint detection alert - Troj/GenKryptik on workstation WS-0198","Our CrowdStrike Falcon sensor generated a high-severity detection alert on workstation WS-0198 (assigned to EMP-7203, Michael Barnes in the HR department). Detection: Troj/GenKryptik.FLCAB (malware confidence: 98.7%). The file was quarantined: C:\Users\mbarnes\AppData\Local\Temp\invoice_Q1_2026.exe (SHA256: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855). The user reported opening an email attachment that appeared to be a Q1 invoice from a known vendor. CrowdStrike has blocked network connections from this endpoint. The workstation has been isolated from the corporate network via EDR network containment. Please investigate the full scope - check for lateral movement, data exfiltration indicators, and other affected endpoints.","High","Resolved","Security","IT-Security-Team","Robert Nguyen","2025-10-28T05:41:52","2025-11-06T05:41:52","","2025-11-06T05:41:52","monitoring"
"TI-2024-0040","Vulnerability scan found unpatched Apache Struts on production web server","Our quarterly vulnerability scan (Tenable Nessus, scan ID NS-2026-Q1-0042) identified a critical vulnerability (CVSS 9.8) on our customer-facing web server WEB-PROD-01 (10.10.6.10). The finding is CVE-2024-53677 - Apache Struts 2 flawed Struts plugin and forced OGNL evaluation. The server is running Apache Struts 2.5.33 but the patched version is 2.5.34 or later. This server hosts our customer self-service portal at portal.company.com and processes about 15,000 requests per hour. Patching requires a coordinated maintenance window with the application team. Our change advisory board meeting is next Tuesday. Can security provide a risk assessment and remediation timeline? PCI-DSS compliance requires critical vulnerabilities to be patched within 30 days.","Medium","In Progress","Security","IT-Security-Team","","2025-10-30T05:41:52","","","2025-10-30T20:41:52","monitoring"
